fdsec01,fdsec02,fdsec03,fdsec04,fdsec05,fdsec06,fdsec07,fdsec08,fdsec09,hhnum,provcode,psurec,regcode,strrec,Wgt2
0,0,0,0,0,0,0,0,0,307,28,4,1,3,341.18518066
3,3,2,2,2,1,0,1,0,308,28,4,1,3,341.18518066
0,0,0,0,0,0,0,0,0,309,28,4,1,3,341.18518066
0,0,0,0,0,0,0,0,0,31,28,1,1,4,228.5216217
3,2,2,2,2,0,0,0,0,310,28,4,1,3,341.18518066
3,2,2,2,0,0,0,0,0,311,28,4,1,3,341.18518066
3,3,3,3,2,0,0,0,0,312,28,4,1,3,341.18518066
2,2,0,2,2,0,0,0,0,313,28,4,1,3,341.18518066
2,2,1,1,1,0,0,0,0,314,28,4,1,3,341.18518066
2,1,0,0,0,0,0,0,0,315,28,4,1,3,341.18518066
3,1,0,0,0,0,0,0,0,317,28,4,1,3,341.18518066
0,0,0,0,0,0,1,0,0,318,28,4,1,3,341.18518066
3,2,2,1,1,1,0,0,0,32,28,1,1,4,228.5216217
1,3,3,1,2,2,0,0,0,33,28,1,1,4,228.5216217
3,3,3,3,3,2,0,1,0,34,28,1,1,4,228.5216217
1,1,1,1,0,0,0,0,0,35,28,1,1,4,228.5216217
2,2,0,2,0,1,2,0,0,36,28,1,1,4,228.5216217
3,2,2,0,2,2,0,0,0,37,28,1,1,4,228.5216217
3,2,2,2,2,1,1,0,0,38,28,1,1,4,228.5216217
1,0,1,1,1,0,0,0,0,39,28,1,1,4,228.5216217
2,0,0,0,0,0,0,0,0,4,28,1,1,1,375.89920044
1,2,1,1,1,1,0,0,0,40,28,1,1,3,341.18518066
1,1,1,1,1,1,0,0,1,41,28,1,1,3,341.18518066
1,1,1,1,0,0,0,0,0,42,28,1,1,3,341.18518066
0,0,0,0,0,0,0,0,0,43,28,1,1,3,341.18518066
0,0,0,0,0,0,0,0,0,44,28,1,1,3,341.18518066
2,2,2,2,1,2,0,0,0,45,28,1,1,3,341.18518066
2,2,2,2,2,0,1,1,0,46,28,1,1,3,341.18518066
1,1,1,0,0,0,0,0,0,47,28,1,1,3,341.18518066
2,2,2,2,1,1,2,0,0,48,28,1,1,3,341.18518066
0,0,0,0,0,0,0,0,0,49,28,1,1,3,341.18518066
0,0,0,0,0,0,0,0,0,5,28,1,1,1,375.89920044
3,3,3,3,3,1,3,0,0,50,28,1,1,3,341.18518066
0,1,0,2,1,0,0,0,0,51,28,1,1,3,341.18518066
0,0,0,0,0,0,0,0,0,52,28,1,1,3,341.18518066
1,0,0,0,1,0,0,0,0,53,28,1,1,3,341.18518066
3,0,1,1,1,0,0,0,0,54,28,1,1,3,341.18518066
0,0,0,0,0,0,0,0,0,55,28,2,1,1,375.89920044
1,0,0,0,1,0,0,0,0,56,28,2,1,1,375.89920044
0,0,0,0,0,0,0,0,0,57,28,2,1,1,375.89920044
2,1,1,0,1,0,0,0,0,58,28,2,1,1,375.89920044
1,2,2,2,1,0,0,0,0,59,28,2,1,1,375.89920044
1,1,1,0,0,0,0,0,0,6,28,1,1,1,375.89920044
0,2,2,2,2,1,0,0,0,60,28,2,1,1,375.89920044
0,0,0,0,0,0,0,0,0,61,28,2,1,1,375.89920044
0,0,0,0,0,0,0,0,0,62,28,2,1,1,375.89920044
0,0,0,0,0,0,0,0,0,63,28,2,1,1,375.89920044
0,0,0,0,0,0,0,0,0,64,28,2,1,1,375.89920044
0,0,0,0,0,0,0,0,0,65,28,2,1,1,375.89920044
1,2,2,1,2,1,2,0,0,66,28,2,1,1,375.89920044
0,0,0,0,0,0,0,0,0,67,28,2,1,1,375.89920044
3,2,2,2,2,1,2,2,0,68,28,1,1,5,351.52288818
2,2,2,2,2,0,0,0,0,69,28,1,1,5,351.52288818
2,2,2,2,1,0,0,0,0,7,28,1,1,1,375.89920044
1,2,2,1,2,0,0,2,0,70,28,1,1,5,351.52288818
0,0,0,0,0,0,0,0,0,71,28,1,1,5,351.52288818
1,2,2,2,2,0,0,0,0,72,28,1,1,5,351.52288818
1,2,2,1,1,2,0,0,0,73,28,1,1,5,351.52288818
1,2,2,1,2,2,2,1,0,74,28,1,1,5,351.52288818
2,2,2,2,2,2,0,0,0,75,28,1,1,5,351.52288818
1,1,1,1,1,1,1,1,0,76,28,1,1,5,351.52288818
2,2,2,2,2,0,0,0,0,77,28,1,1,5,351.52288818
0,2,0,0,0,0,0,0,0,78,28,1,1,5,351.52288818
3,3,2,0,0,0,0,0,0,79,28,1,1,5,351.52288818
1,1,1,0,2,0,0,0,0,8,28,1,1,1,375.89920044
1,1,2,0,0,0,0,0,0,80,28,1,1,5,351.52288818
0,0,0,0,0,0,0,0,0,81,28,1,1,5,351.52288818
1,2,2,3,1,0,0,0,0,82,28,1,1,5,351.52288818
1,1,0,1,2,3,1,2,1,83,28,1,1,5,351.52288818
1,0,0,0,0,0,0,0,0,84,28,1,1,5,351.52288818
2,2,2,0,2,0,0,0,0,85,28,1,1,5,351.52288818
0,0,0,0,0,0,0,0,0,86,28,1,1,5,351.52288818
0,0,0,0,0,0,0,0,0,87,28,1,1,5,351.52288818
0,0,0,0,0,0,0,0,0,88,28,1,1,5,351.52288818
2,2,1,0,1,0,0,0,0,89,28,1,1,5,351.52288818
0,0,0,0,0,0,0,0,0,9,28,1,1,1,375.89920044
0,1,0,0,1,0,1,0,0,90,28,1,1,5,351.52288818
2,1,1,1,0,0,0,0,0,91,28,2,1,4,341.71463013
0,0,0,0,0,0,0,0,0,92,28,2,1,4,341.71463013
1,0,0,0,0,0,0,0,0,93,28,2,1,4,341.71463013
1,0,0,0,0,0,0,0,0,94,28,2,1,4,341.71463013
2,2,1,1,0,0,0,0,0,95,28,2,1,4,341.71463013
