regcode,provcode,hhnum,member_code,age,sex,psc,fg1,fg2,fg3,fg4,fg5,fg6,fg7,fg8,fg9,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,fg19,fg20,fg21,fg23,fg24,fg25,fg26,fg27,Total_Food,Total_Ener,Total_Prot,Total_Calc,Total_Iron,Total_VitA,Total_VitC,Total_Thia,Total_Ribo,Total_Nia,Total_CHO,Total_Fat,psurec,strrec,wgts
1,29,66,5,4.9171801,2,0,166.63388,140.68988,0,25.944,0,99.720001,0,71.161278,21.605631,49.555649,0,0,0,157.62131,36.97826,120.64304,0,0,0,0,0,0,20.25,5.25,15,0,931.05298,1103.833374,32.68669891,138.7333374,0.802519977,0.372180015,9.783399582,18.78198051,177.6432648,29.03623009,151.6083221,6.092730045,21207010000,29012,5276
1,29,68,3,25.023956,2,8,248.7455,150.7455,0,98,3.4605899,44.91,0,139.53503,46.062988,93.472054,0,0,0,171.26797,54.46154,112.61,4.1964302,23.4023,0,0,0,12.165,20.5,20.5,0,0,663.98639,1904.612549,59.25238037,354.7911377,13.81371975,563.8234253,59.93964005,1.893210053,1.007560015,22.18905067,297.28302,53.29410934,21207010000,29012,5276
1,29,68,4,4.2491446,1,99,206.84125,72.453751,0,134.3875,0,32.939999,0,0,0,0,0,0,0,61.456001,0,61.456001,0,31.32069,76.25,76.25,0,4.165,16,16,0,0,789.52014,1346.616455,31.76215935,401.9020691,1.893679976,1.223940015,15.01856995,55.95999908,209.6692047,46.30585861,253.2623749,9.999500275,21207010000,29012,5276
1,29,69,6,1.0102669,1,99,63.50425,44.306252,0,19.198,0,0,0,16.25,0,16.25,0,0,0,0,0,0,0,26,419.375,419.375,0,2.4400001,100,100,0,0,1226.6985,675.1588745,16.97641945,440.646698,0.476049989,0.724569976,6.317770004,35.25,104.9955063,21.16461945,227.7754974,5.370399952,21207010000,29012,5276
1,29,71,3,1.9466119,1,99,5.421,5.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,0,0,0,0,0,0,742.84204,249.8071747,10.05535984,347.3347168,0.257340014,0.579249978,3.274149895,19.20000076,27.19791031,11.14842033,11.19999981,4.246469975,29225015000,29022,5288
1,29,71,5,24.041067,2,4,415.73001,400.32001,0,15.41,5.4070601,0,0,94.268509,81.016899,13.25161,0,0,0,235.69984,183.98735,51.712502,0,68.19828,0,0,0,13.5,0,0,0,0,832.80371,2150.92627,77.21573639,298.7830811,12.05832958,517.1536255,21.50523949,1.044330001,0.871760011,34.75,357.6210022,45.65903854,29225015000,29022,10576
1,29,73,6,1.4729637,2,0,18.764999,18.764999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651.9375,651.9375,0,0,0,0,0,0,1341.405,451.5534058,12.58911037,394.0915527,0.369309992,0.633530021,5.046480179,102.5999985,71.17505646,12.91882038,0,5.061150074,29225015000,29022,5288
1,29,74,1,19.915127,2,11,304.599,258.349,15,31.25,41.653301,103.83,4,77.978432,16.946341,61.032089,0,0,0,246.14987,67.983871,178.166,0,0,0,0,0,19.355,12,12,0,0,809.56561,2191.663574,54.93741989,324.9787292,8.73567009,366.6000366,74.24913788,1.068860054,0.656340003,20.58896065,364.8204346,56.70367813,29225015000,29022,5288
1,29,75,2,32.607803,2,10,221.61024,156.59525,0,65.014999,36.246239,49.049999,0,443.99365,75.881271,368.1124,0,0,0,295.19376,170.60208,38.189999,86.40168,40.966671,152.5,152.5,0,7.855,10,10,0,0,1257.4155,1747.363892,76.88140869,712.0363159,14.92284012,702.9006958,79.88957977,1.425269961,1.328580022,26.04323959,253.8115234,46.97864914,29225015000,29022,5288
1,29,76,6,3.5236139,2,0,66.292999,31.275,0,35.018002,0,98,0,6.6258101,0,6.6258101,0,0,0,14.54545,0,0,14.54545,4.0413799,0,0,0,0,0,0,0,0,276.96988,474.276001,11.51202011,99.06865692,0.276620001,0.186900005,3.737799883,1.739639997,90.35119629,7.417150021,18.78923035,2.276040077,29225015000,29022,5288
1,29,76,2,32.862423,2,11,230.18201,200.16,0,30.021999,0,0,0,79.509682,0,79.509682,0,0,0,174.54546,0,0,174.54546,22.732759,0,0,0,2.5,0,0,0,0,509.46988,1149.417969,47.50085831,155.2918854,6.327660084,107.9169388,20.87568092,0.767139971,0.615629971,16.18512917,197.2253876,18.9340992,29225015000,29022,5288
1,29,81,3,2.1546886,2,0,14.1475,4.3785,0,9.7690001,0,6.8200002,0,0,0,0,0,0,0,0,0,0,0,0,873.5625,873.5625,0,0,5,5,0,0,1792.24,631.8323975,18.16558075,608.1134644,0.767289996,1.14478004,7.396810055,72.5,95.41721344,20.40543938,270.8624878,8.506210327,30626001000,29022,5275.959961
1,29,87,8,1.2265571,2,0,78.26075,64.51075,0,13.75,0,0,10.725,0,0,0,0,0,0,113.48071,40,56.695,16.785709,38.866379,762.5,762.5,0,1.25,0,0,0,0,1959.3243,910.1516724,43.1097908,622.1264038,0.935639977,1.357570052,14.45849991,60.38190079,119.6230621,28.72683907,708.1802368,12.1107502,30626001000,29022,5275.959961
1,29,88,5,4.202601,1,99,191.623,191.623,0,0,0,7.5,10.725,72.330589,33.535519,38.795071,33.333328,0,33.333328,87.043091,21.685949,0,65.35714,0,0,0,0,0,0,0,0,0,786.88501,883.519043,30.98199081,162.6287842,0.357749999,0.899020016,13.59836006,21.26509094,177.9240112,5.291160107,1467.252441,4.827789783,30626001000,29022,5275.959961
1,29,93,1,26.398357,2,11,548.92798,474.129,0,74.799004,0,9,0,246.1599,33.52821,212.63168,70.272629,0,70.272629,151.2597,71.488037,29.41452,50.35714,27.5,0,0,0,8.9302902,0,0,0,0,1062.0505,2821.907471,79.28173828,394.7531433,10.4155798,447.392334,76.71936035,1.007369995,0.818130016,28.04488945,506.2311401,53.15444946,31427008000,29012,5296
