regcode,provcode,hhnum,member_code,age,sex,csc,psc,rhc,educ,occup,wrkpl
3,71,1312,05,17.634497,1,,99,3,11,14,9
3,71,1312,06,16.002737,1,,99,3,9,14,9
3,71,1312,07,13.251198,1,,99,3,6,14,9
3,71,1313,01,32.109512,1,2,99,1,5,7,1
3,71,1313,02,30.625599,2,2,11,2,4,10,9
3,71,1313,03,10.365503,1,1,99,3,3,14,9
3,71,1313,04,5.3004789,1,1,99,3,99,99,9
3,71,1313,05,3.9260781,2,1,0,4,99,99,9
3,71,1313,06,.70636553,2,1,0,4,99,99,9
3,71,1314,01,44.859684,1,,99,1,12,5,1
3,71,1314,02,39.389458,2,,0,2,12,10,9
3,71,1314,03,13.305955,2,,0,4,7,14,9
3,71,1314,04,10.67488,2,1,0,4,4,14,9
3,71,1315,01,52.695415,1,,99,1,11,8,1
3,71,1315,02,44.774811,2,,0,2,9,10,9
3,71,1315,03,16.70089,1,,99,3,8,14,9
3,71,1315,04,12.988364,2,,0,4,6,14,9
3,71,1315,05,12.281999,1,,99,5,3,14,9
3,71,1316,01,58.929501,1,,99,1,14,15,9
3,71,1316,02,31.241615,2,,6,2,10,10,9
3,71,1316,03,6.680356,2,1,0,4,1,99,9
3,71,1316,04,2.8336756,1,1,99,3,99,99,9
3,71,1317,01,43.811089,2,,0,1,10,5,1
3,71,1317,02,14.85284,2,,0,4,8,14,9
3,71,1317,03,12.64887,1,,99,3,6,14,9
3,71,1317,04,8.6050653,1,1,99,3,2,99,9
3,71,1318,01,31.501711,1,2,99,1,10,10,9
3,71,1318,02,25.820671,2,2,0,2,12,5,1
3,71,1318,03,3.6906228,2,1,0,4,99,99,9
3,71,1318,04,1.3798769,1,1,99,3,99,99,9
3,71,1319,01,55.572895,1,,99,1,4,8,1
3,71,1319,02,56.996578,2,,0,2,2,10,9
3,71,1319,03,16.758385,2,,0,4,0,0,9
3,71,1319,04,5.544148,1,1,99,3,99,99,9
3,71,1320,01,63.058178,1,,99,1,8,6,1
3,71,1320,02,61.32238,2,,0,2,14,15,9
3,71,1320,03,35.175907,1,,99,3,14,2,1
3,71,1320,04,33.681042,1,,99,3,14,6,1
3,71,1320,05,11.994524,2,1,0,5,6,14,9
3,71,1320,06,38.472279,2,,0,0,10,9,1
3,71,1321,01,56.366871,2,,0,1,2,10,9
3,71,1321,02,26.98152,1,,99,3,12,9,1
3,71,1321,03,20.684464,1,,99,3,5,9,1
3,71,1322,01,21.021219,2,,10,9,6,10,9
3,71,1323,01,28.150581,1,2,99,1,4,6,1
3,71,1323,02,26.893908,2,2,11,2,10,10,9
3,71,1323,03,5.4182067,1,1,99,3,99,99,9
3,71,1323,04,3.3757701,1,1,99,3,99,99,9
3,71,1323,05,.64613277,1,1,99,3,99,99,9
3,71,1324,01,70.171112,1,2,99,9,10,6,8
3,71,1324,02,69.270363,2,2,0,9,7,6,8
3,71,1325,01,46.67762,1,,99,1,6,7,1
3,71,1325,02,48.147842,2,,0,2,6,10,9
3,71,1325,03,26.113621,1,,99,3,14,7,1
3,71,1325,04,19.006161,1,,99,3,10,14,9
3,71,1326,01,16.591375,2,,0,1,9,14,9
3,71,1326,02,15.011636,2,,0,5,8,14,9
3,71,1327,01,70.491447,2,3,0,9,6,0,9
3,71,1328,01,74.171112,2,3,0,9,1,0,9
3,71,1329,01,43.660507,1,,99,1,10,6,1
3,71,1329,02,18.507872,2,,0,4,10,0,9
3,71,1329,03,14.433949,1,,99,3,7,14,9
3,71,1329,04,10.42026,1,1,99,3,5,14,9
3,71,1330,01,32.906227,1,,99,1,6,6,1
3,71,1330,02,30.409309,2,,0,2,9,10,9
3,71,1330,03,10.907598,2,1,0,4,5,14,9
3,71,1330,04,9.787817,2,1,0,4,4,99,9
3,71,1330,05,8.2929497,1,1,99,3,3,99,9
3,71,1330,06,6.3655033,2,1,0,4,1,99,9
3,71,1331,01,40.845997,1,2,99,1,5,6,1
3,71,1331,02,46.401096,2,2,0,2,12,10,9
3,71,1331,03,6.8199863,2,1,0,4,0,99,9
3,71,1331,04,4.7036276,2,1,0,4,99,99,9
3,71,1332,01,35.039013,1,,99,1,6,6,1
3,71,1332,02,31.47707,2,,12,2,6,10,9
3,71,1332,03,11.353868,1,1,99,3,5,14,9
3,71,1332,04,10.53525,2,1,0,4,3,14,9
3,71,1332,05,7.6112251,1,1,99,3,1,99,9
3,71,1332,06,3.4277892,1,1,99,3,99,99,9
3,71,1333,01,62.012321,2,1,0,1,10,10,9
3,71,1334,01,48.090347,1,,99,1,14,6,1
3,71,1335,01,37.664612,1,,99,1,7,8,1
3,71,1335,02,36.284737,2,,10,2,7,10,9
3,71,1335,03,11.726215,2,1,0,4,5,14,9
3,71,1335,04,8.4873371,1,1,99,3,2,99,9
3,71,1335,05,5.0869269,2,1,0,4,99,99,9
3,71,1335,06,1.448323,2,1,0,4,99,99,9
3,71,1335,07,.54757017,2,1,0,4,99,99,9
3,71,1336,01,42.781658,1,,99,1,15,1,1
3,71,1336,02,39.162216,2,,0,2,8,10,9
3,71,1336,03,15.12115,2,,0,4,7,0,9
3,71,1336,04,4.1724844,1,1,99,3,99,99,9
3,71,1337,01,68.262833,2,3,0,1,2,10,9
3,71,1337,02,40.574947,1,,99,3,5,0,9
3,71,1338,02,26.110884,2,,10,9,10,10,9
3,71,1339,01,43.655029,2,,0,1,10,1,0
3,71,1339,02,20.993839,1,,99,3,14,4,1
3,71,1339,03,13.691992,2,,0,4,7,14,9
3,71,1340,01,66.5243,1,3,99,1,10,15,9
3,71,1340,02,37.987679,1,,99,3,10,8,1
3,71,1340,03,37.464748,2,,0,5,10,10,9
3,71,1340,04,8.6406574,1,1,99,5,0,99,9
3,71,1340,05,1.1663244,1,1,99,5,99,99,9
3,71,1340,06,56.164272,1,,99,5,9,11,1
3,71,1341,01,42.349075,1,2,99,1,10,8,1
3,71,1341,02,42.647503,2,2,0,2,11,10,9
3,71,1341,03,17.678303,1,,99,3,10,0,9
3,71,1341,04,15.745379,1,,99,3,8,14,9
3,71,1341,05,12.492813,1,,99,3,4,14,9
3,71,1341,06,10.537988,2,1,0,4,4,14,9
3,77,1342,01,50.280628,1,,99,1,6,7,1
3,77,1342,02,43.457905,2,,0,2,7,5,1
3,77,1342,03,10.81451,2,1,0,4,5,14,9
3,77,1342,04,7.4798083,1,1,99,3,1,99,9
3,77,1342,05,24.837782,1,,99,3,9,0,9
3,77,1342,06,19.679672,2,,0,5,10,0,9
3,77,1343,01,47.871323,1,,99,1,10,8,1
3,77,1343,02,47.712524,2,,0,2,9,1,1
3,77,1343,03,21.215607,2,,0,4,13,14,9
3,77,1343,04,15.277207,2,,0,4,8,14,9
3,77,1344,01,46.652977,1,,99,1,12,5,1
3,77,1344,02,42.904861,2,,0,2,8,5,0
3,77,1344,03,21.697468,1,,99,3,13,14,9
3,77,1345,01,61.325119,1,2,99,1,6,0,9
3,77,1345,02,58.395618,2,2,0,2,8,10,9
3,77,1345,03,23.129364,1,1,99,3,9,3,1
3,77,1345,04,19.080082,1,,99,3,10,3,1
3,77,1345,05,15.091034,1,,99,3,5,0,9
3,77,1345,06,11.173169,1,1,99,3,5,14,9
3,77,1346,01,37.618069,2,,0,1,14,10,9
3,77,1346,02,31.255304,2,,0,5,15,2,1
3,77,1347,01,60.183437,1,2,99,9,11,3,1
3,77,1348,01,41.330597,1,,99,1,10,9,1
3,77,1348,02,39.408623,2,,0,2,14,10,9
3,77,1348,03,15.37577,2,,0,4,8,14,9
3,77,1348,04,12.731007,1,,99,3,6,14,9
3,77,1348,05,3.9780972,2,1,0,4,99,99,9
3,77,1349,01,32.509239,1,,99,1,7,9,1
3,77,1349,02,41.171799,2,,0,2,10,7,1
3,77,1349,03,10.49692,1,1,99,3,4,14,9
3,77,1349,04,14.997947,2,,0,4,8,14,9
3,77,1350,01,66.250511,1,2,99,9,6,0,9
3,77,1350,02,63.460644,2,2,0,9,7,5,1
3,77,1351,01,63.206024,1,2,99,1,7,10,9
3,77,1351,02,59.827515,2,2,0,2,6,5,1
3,77,1351,03,26.0397,1,2,99,3,10,9,1
3,77,1351,04,26.0397,1,,99,3,7,9,1
3,77,1351,05,18.959618,2,,0,5,10,10,9
5,5,1352,01,37.297741,1,,99,1,6,6,1
5,5,1352,02,47.613964,2,,0,2,10,10,9
5,5,1352,03,6.4668036,2,1,0,4,0,99,9
5,5,1352,04,97.998634,2,,0,5,3,0,9
5,5,1353,01,46.162903,1,2,99,1,9,8,1
5,5,1353,02,42.885696,2,2,0,2,8,5,1
5,5,1353,03,21.856262,2,,0,4,14,5,1
5,5,1353,04,19.575634,2,,0,4,12,5,1
5,5,1353,05,13.941136,1,,99,3,5,14,9
5,5,1354,01,24.731007,1,,99,1,8,9,1
5,5,1354,02,23.003422,2,,0,2,10,10,9
5,5,1354,03,4.0273786,1,1,99,3,99,99,9
5,5,1354,04,2.2915812,2,1,0,4,99,99,9
5,5,1355,01,56.336754,2,2,0,1,10,5,1
5,5,1355,02,57.393566,1,2,99,2,11,5,1
5,5,1355,03,26.414783,1,,99,3,14,2,1
5,5,1355,04,24.511978,1,,99,3,14,2,1
5,5,1355,05,23.099247,2,,0,4,14,2,1
5,5,1355,06,11.340178,2,1,0,5,4,14,9
5,5,1355,07,26.992472,1,,99,5,14,5,1
5,5,1355,08,31.698837,2,,0,4,14,2,2
5,5,1355,09,36,1,,99,5,14,1,2
5,5,1355,10,28.720055,1,,99,3,15,2,2
5,5,1355,11,28,2,,0,5,14,10,9
5,5,1356,01,32.977413,1,,99,1,7,9,1
5,5,1356,02,30.258726,2,,0,2,7,10,9
5,5,1356,03,7.2881589,1,1,99,3,22,99,9
5,5,1356,04,5.6153321,2,1,0,4,99,99,9
5,5,1356,05,1.9137577,2,1,0,4,99,99,9
5,5,1356,06,.65982205,2,1,0,4,99,99,9
5,5,1357,01,23.216974,2,,11,9,8,10,9
5,5,1358,01,57.516769,1,,99,1,4,7,1
5,5,1358,02,56.514717,2,,0,2,5,10,9
5,5,1358,03,22.828199,1,,99,3,7,14,9
5,5,1358,04,18.40657,1,,99,3,6,0,9
5,5,1358,05,16.476385,1,,99,3,4,0,9
5,5,1358,06,14.329911,2,,0,4,7,14,9
5,5,1359,02,24.602327,2,,10,9,10,10,9
5,5,1360,03,30.083504,2,,12,9,6,7,0
5,5,1361,01,44.079399,1,,99,1,9,6,1
5,5,1361,02,42.73785,2,,12,2,6,10,9
5,5,1361,03,15.77002,1,,99,3,8,6,1
5,5,1361,04,13.390828,1,,99,3,6,14,9
5,5,1361,05,9.5934296,1,1,99,3,3,99,9
5,5,1361,06,8.2518826,1,1,99,3,1,99,9
5,5,1361,07,3.7043121,2,1,0,4,99,99,9
5,5,1361,08,1.1088296,2,1,0,4,99,99,9
5,5,1362,05,34.275154,2,,10,9,4,7,0
5,5,1363,01,56.881588,2,,0,1,6,10,9
5,5,1363,02,57.314167,1,,99,2,4,6,1
5,5,1364,01,37.705681,1,,99,1,10,6,1
5,5,1364,02,35.175907,2,,7,2,10,10,9
5,5,1364,03,14.529774,1,,99,3,7,14,9
5,5,1364,04,12.344969,2,,0,4,6,14,9
5,5,1364,05,9.9958935,2,1,0,4,3,99,9
5,5,1364,06,4.7118411,2,1,0,4,99,99,9
5,5,1364,07,2.1957564,2,1,0,4,99,99,9
5,5,1365,01,61.349762,1,2,99,1,5,6,1
5,5,1365,02,61.889118,2,2,0,2,5,10,9
5,5,1365,03,16.492813,2,,0,4,9,14,9
5,5,1366,01,21.086927,1,,99,1,10,9,1
5,5,1366,02,24.681725,2,,10,2,10,10,9
5,5,1366,03,2.0698152,1,1,99,3,99,99,9
5,5,1366,04,.33401778,2,1,0,4,99,99,9
5,5,1367,01,67.657768,2,3,0,9,6,0,9
5,5,1368,01,23.748117,1,,99,1,10,9,1
5,5,1368,02,25.281315,2,,10,2,6,10,9
5,5,1368,03,.17522246,2,1,0,4,99,99,9
5,5,1369,01,77.757698,2,3,0,1,0,7,0
5,5,1370,01,27.052704,1,,99,1,10,8,1
5,5,1370,02,24.81588,2,,11,2,10,10,9
5,5,1370,03,4.002738,2,1,0,4,99,99,9
5,5,1370,04,.58863795,2,1,0,4,99,99,9
5,5,1371,01,34.239563,1,,99,1,7,6,1
5,5,1371,02,27.195072,2,,0,2,6,9,1
5,5,1371,03,7.8028746,1,1,99,3,0,99,9
5,5,1371,04,5.8754277,1,1,99,3,99,99,9
5,5,1372,01,58.762493,1,,99,1,6,6,1
5,5,1372,02,57.445583,2,,0,2,3,10,9
5,5,1372,03,23.397673,2,,0,4,14,3,1
5,5,1372,04,19.696098,1,,99,3,10,14,9
